bn_words_of_interest,frequency_count
আবহাওয়া,5
দুনিয়াবী,5
মুআবিয়া,5
মারয়্যাম!,5
হয়না;,5
গায়।,5
আম্বিয়াগণের,5
‘হয়,5
ফায়সালাদাতা,5
আল্লাহওয়ালা,5
কয়েকদিন,5
অসিয়তে,5
ওয়ারিশ,5
হিদায়াতকে,5
মোকাবিলায়,5
হওয়াটাই,5
প্রভাব-প্রতিক্রিয়া,5
পেঁচিয়ে,5
অক্ষয়,5
জন্তু-জানোয়ারের,5
পুণ্যময়,5
মূল্যায়ন,5
আওয়াজের,5
দেয়।[2],5
মাসায়েলের,5
করুণাময়।[1],5
মহীয়ান,5
ছায়াকে,5
অসহায়তার,5
আয়না,5
উপাসনালয়ে,5
"ওয়াদা,",5
বিচার-ফয়সালা,5
সমস্যায়,5
পানীয়ের,5
যিম্মায়,5
দয়া;,5
ইরওয়াউল,5
নমনীয়তা,5
লুকায়িত,5
ন্যায়কে,5
হয়েছিল।[4],5
অনাত্মীয়,4
(ভয়ঙ্কর),4
শয়ত্বানদের,4
সাবিয়ী,4
কোণায়,4
ওয়ারিসদের,4
হয়।[7],4
মাদয়্যানবাসীদের,4
"দেখিয়ে,",4
কতিপয়কে,4
ধাঁধায়,4
ইয়াহুদী-নাসারা,4
মাদায়েন,4
নিয়োগ,4
সুগন্ধময়,4
হয়েছিল-,4
"মহিমময়,",4
দেয়!,4
(যাবতীয়),4
সম্প্রদায়সমূহের,4
রয়েছে-,4
বিজয়লাভ,4
ইয়াহুদীরাও,4
অবস্থায়;,4
ফায়সালায়,4
(ভয়াবহ,4
য়্যা’জূজ-মা’জূজের,4
ছায়াতলে,4
"পায়ে,",4
"জোড়ায়,",4
‘দুনিয়ায়,4
ওয়াদাকৃত,4
আরাফায়,4
স্থায়ী।’,4
দাওয়াত-তবলীগ,4
"সত্যায়নকারী,",4
হাওয়ালা,4
আনন্দদায়ক,4
(আদায়,4
মুআবিয়াহ,4
শোভনীয়ও,4
"আয়াতে,",4
"তুলনীয়,",4
খাইয়ে,4
দাবিয়ে,4
আদায়কারীর,4
হয়েছ?,4
মানবীয়,4
পরিভাষায়,4
আনতনয়না,4
অনন্যোপায়,4
ব্যয়ের,4
শরীয়ত-বিরোধী,4
অশোভনীয়,4
বানিয়েছে।,4
সত্যপরায়ণ,4
দিয়েছিলেন।তাফসীরে,4
ইয়া‘কূবের,4
মিথ্যাশ্রয়ীদের,4
ধোঁয়া।,4
পবিত্রতায়,4
বিষয়টাই,4
আওয়াজ।,4
"বিধায়ক,",4
পায়।[3],4
শত্রুতায়,4
বিষয়।তাফসীরে,4
ক্রিয়া-কলাপ,4
"জয়ী,",4
রয়েছে)।,4
(দায়িত্ব,4
যায়)।,4
"বিক্রয়,",4
"দায়ী,",4
কপটতায়,4
আত্মীয়কে,4
দরিয়ার,4
অতিমাত্রায়,4
"হয়,[1]",4
অসিয়তের,4
সম্প্রদায়?,4
(কিয়ামতে),4
চায়!,4
কয়েকবার,4
সময়ে।,4
কন্যাদ্বয়ের,4
সাহাবায়ে-কিরামগণ,4
হয়েছিল[1],4
সুহায়ব,4
যায়তূন,4
ঘটায়ো,4
ভয়।,4
প্রণয়,4
সম্প্রদায়রা,4
প্রাণবায়ু,4
সত্যায়নকারী।,4
নেয়।-তাফসীরে,4
বানিয়েছিলাম।,4
"ইয়াতীমদের,",4
পয়গম্বর।,4
শয়তান।,4
(বায়তুল,4
কয়েদখানা,4
গিয়েছিল;,4
(স্থায়ী,4
মাশায়েখ,4
পাঠিয়েছেন?’,4
"সম্প্রদায়কে,",4
নিয়াযের,4
লড়াইয়ের,4
হাওয়াতে,4
হুদাইবিয়াতে,4
যারিয়াত,4
দয়ামায়া,4
খেয়ালখুশির,4
ফায়সালাও,4
অনুগ্রহপরায়ণ,4
আয়ত্ব,4
"বানায়,",4
তাওয়াক্কুলকারী,4
"দায়িত্ব,",4
হূদয়,4
ছয়জন,4
নিয়ম-নীতির,4
নেয়ামতে,4
"শুয়ে,",4
চেয়েছিলেন,4
"শয়তান,",4
"দেয়নি,",4
সম্প্রদায়কে),4
ক্ষীণকায়,4
নির্দ্বিধায়,4
অপব্যয়কারী,4
বদলায়,4
বেড়ায়;,4
চোখওয়ালা,4
হাবশায়,4
"সময়ে,",4
নেয়।’,4
"নয়না,",4
"দেখায়,",4
আখ্যায়ন,4
নিদ্রায়,4
যাওয়াটা,4
ইয়াতীমরা,4
অবয়বে,4
শীয়া,4
উদয়স্থল,4
বায়তুল্লাহর,4
সিঙ্গায়,4
ইলয়াস,4
বিনিময়।,4
তত্ত্বাবধায়ক।-তাফসীরে,4
বিষয়েরই,4
সংকটময়,4
হাত-ওয়ালারা!,4
দিয়েছেন-,4
ইয়াহয়্যা,4
(হয়ে,4
নিয়েছে।তাফসীরে,4
দয়ালু।[1][1],4
কর্মানুযায়ী,4
(বিধেয়,4
তায়েফের,4
পরোয়াই,4
দায়বদ্ধ।,4
বাস্তবায়নে,4
সম্প্রদায়।(১)(১),4
ফাঁসিয়ে,4
পুণ্যময়ী,4
বাঞ্ছনীয়।,4
মিথ্যাশ্রয়ীরা,4
কল্পনায়,4
অধ্যায়)[3],4
নিয়ামত),4
হৃদয়;,4
কুরায়শ,4
বাইয়াত,4
"আয়াতসমূহ,",4
কোথায়’?,4
বানিয়ে),4
‘বায়েনাহ,4
নেয়।[1],4
মুযদালিফায়,4
বিষয়),4
ব্যয়কৃত,4
দেখায়নি।,4
নেওয়াও,4
লোভনীয়,4
স্থায়ী;,4
ওজর-ওয়ালা,4
দুয়ার,4
ছেলে-মেয়ের,4
ওয়াসাল্লামের,4
আয়েশার,4
খাওয়া-পরা,4
পরাজেয়,4
ধেয়ে,4
দেওয়াকে,4
আশ্রয়দাতা,4
মাদীনায়,4
"ক্রিয়ামূল,",4
ভিড়িয়ে,4
আত্মীয়গণ,4
দিয়েছি।তাফসীরে,4
দুনিয়া),4
"স্থায়ী,",4
নেওয়াতে,4
শায়েস্তা,4
জায়িয,4
‘ইয়াহুদী,4
দুর্দশায়,4
নেওয়াকে,4
ইয়া‘কুব,4
‘দুনিয়ার,4
হয়েছিলঃ,4
"পাওয়া,",4
নিষ্ক্রিয়,4
তাওয়াফের,4
ফায়েল’,4
হাওয়াযিন,4
বায়ু।,4
কমনীয়,4
গিয়ে),4
খাওয়াবে।,4
হয়েছিল’।,4
বয়োজ্যেষ্ঠ,4
আয়ুর,4
প্রেমময়।,4
কিশলয়,4
বারাকাতময়,4
কিয়ামাতকে,4
প্রিয়তম,4
নিস্ক্রিয়,4
আপ্যায়ন।,4
তন্দ্রায়,4
নিয়মানুযায়ী,4
ইয়াফেস,4
সীমানায়,4
(রাযিয়াল্লাহু,4
সাদকায়,4
দেওয়া;,4
নিরাপত্তায়,4
পলায়নপর,4
শয়ত্বানরা,4
মানিয়ে,4
ইয়াক্বূব,4
সদয়ভাবে,4
আরামদায়ক,4
জারিয়া,4
ব্যবসায়ের,4
হয়নি।[2],4
"দেয়,[1]",4
করিয়েছি।,4
তাড়নায়,4
বায়তের,4
"অসহায়,",4
প্রয়োগে,4
পায়খানার,4
মুতাওয়াতির,4
বিচার-ফায়সালার,4
ধাঁধিয়ে,4
চায়।তাফসীরে,4
অপব্যয়ে,4
পর্যায়ক্রমে।,4
ছয়টি,4
বর্তায়,4
সম্প্রদায়তো,4
জ্ঞানায়ত্ত।,4
অনুনয়-বিনয়,4
কথায়),4
খেয়ালী,4
শারীয়াত,4
উয়াইনাহ,4
কিয়ামতের),4
দাঁড়িয়েছিল।,4
মোতায়েন,4
ন্যায়-নীতি,4
"মারয়্যাম,",4
"প্রয়োজন,",4
ন্যায়নিষ্ঠ,4
নয়।’’,4
আলোময়,4
অন্যায়কে,4
"সুপেয়,",4
হুলিয়া,4
"আশ্রয়স্থল,",4
প্রায়শ্চিত্ত),4
তৃতীয়টি,4
রায়ের,4
মুহাম্মাদিয়ার,4
হয়[3],4
যাওয়ায়েদ,4
আত্মীয়রা,4
"দিয়েছিলে,",4
(নিয়ামত,4
বিস্ময়কর?,4
পৃষ্ঠায়,4
ওয়াকফ,4
"ক্ষমাপরায়ণ,",4
হাওয়ারীদেরকে,4
অন্যায়কারীদের,4
দেওয়ালের,4
অনুযায়ী।,4
বিষয়ও,4
পৌঁছিয়েছে,4
তালবিয়া,4
সাবেয়ী,3
আওয়ালূন’,3
হয়রান,3
আয়োজন,3
স্বাফওয়ান,3
দিয়েছিলে।,3
আত্মীয়ই,3
"খাওয়া,",3
"তাকায়,",3
খাওয়া),3
কিয়ামাহ),3
মেয়েটি,3
মান-মর্যাদায়,3
খিয়ানতকারীদের,3
প্রিয়।’,3
(নবুওয়াত),3
বিষয়?,3
"হয়েছে),",3
ইয়াহুদীও,3
"হওয়ার,",3
দেওয়া’,3
কুড়িয়ে,3
সবসময়,3
হাওয়ালায়,3
মায়েদের,3
(ইয়াকূব,3
বায়ুর।,3
ঝুঁকিয়ে,3
দিয়েছিলাম-,3
অসময়ের,3
"আয়েশা,",3
নযর-নিয়াযের,3
তলায়,3
পাঠিয়েছিলেন।,3
সহায়স্থল,3
বিষয়;,3
মাখিয়ে,3
উমাইয়্যা,3
প্রলয়।,3
পরিচালনায়,3
"রয়েছ,",3
ইয়াতীমকে,3
"খেয়াল,",3
"জ্ঞানময়,",3
ইয়াহূদীদেরকে,3
পালনীয়।,3
দাকয়ানুস,3
নেয়া।,3
বিষয়োপরি,3
খাওয়াব?,3
সওয়াব।,3
‘মাদয়ান’,3
(সময়ের),3
বিক্রয়ের,3
ক্বিবত্বিয়া,3
(ক্রয়,3
যাওয়া;,3
দায়িত্বে।,3
নেয়ামতের,3
(বিধেয়),3
রয়েছি।’,3
হিদায়াতদানকারী,3
"পেয়েছিল,",3
ক্ষয়-ক্ষতি,3
"নয়),",3
উদ্দীপনায়,3
অনুমেয়।,3
শয়তানদল,3
ইয়াহইয়া।,3
হয়ে।[1],3
দিয়েছে?,3
দিয়েছি;[1],3
"দিয়েছেন),",3
মারয়্যাম-পুত্র,3
ঘটিয়েই,3
যাকারিয়া!,3
নিয়ম-পদ্ধতির,3
অনুসরণীয়,3
ন্যায়বিচারের,3
শ্রেয়তর,3
শোভনীয়।,3
হয়নি।’’,3
কাবায়,3
অধ্যায়।),3
নিয়ন্ত্রণ।,3
গায়িকা,3
ক্রমান্বয়ে,3
(ইয়ামানের),3
বানু-ক্বুরায়যা,3
দিয়েছিলাম।[3],3
বানিয়েছ।,3
"অপরিবর্তনীয়,",3
ন্যায়-বিচার,3
খসিয়ে,3
সহযোগিতায়,3
চাওয়ায়,3
"অন্যায়,",3
হিদায়াতস্বরূপ,3
বিপর্যয়ের,3
নয়।[4],3
হয়?’,3
"নিয়েছিলে,",3
চেয়েছেন?,3
পদমর্যাদায়,3
আয়াতটির,3
মায়িদাহ,3
রয়েছ?,3
ক্রিয়াবিশেষ্য,3
ইয়াকূবকে,3
ছড়িয়ে-ছিটিয়ে,3
(ক্রিয়ামূল),3
দেয়া),3
আওলিয়াগণ,3
ছয়শ’,3
ফিরিশতাদ্বয়ের,3
পায়খানা-দ্বার,3
নিয়ামতগুলোর,3
দেওয়ার),3
আশায়।,3
ভয়ভীতি,3
অজ্ঞানতায়,3
ওয়ারিস।,3
সওয়াবের,3
কুঁয়া,3
বিজয়সমূহ,3
গুরুদায়িত্ব,3
যায়নাব,3
দিয়েছিলাম?,3
বালুকাময়,3
আকীদায়,3
ওয়াসাল্লামকে,3
গিয়েছিল।[2],3
রয়েছে;[1],3
রয়েছে।[5],3
সাদকায়ে,3
বানিয়েছিলে,3
(গায়বী,3
স্থূলকায়,3
যন্ত্রণায়,3
ফাতাওয়া,3
"বিজয়ী,",3
খাওয়া-পান,3
আলয়,3
মাদ্য়্যানবাসীদের,3
স্থিরতায়,3
নেওয়াই,3
"পেয়েছিলেন,",3
"দয়াশীল,",3
দিয়েছি?,3
বয়োঃপ্রাপ্ত,3
প্রলয়ঙ্কর,3
শোয়ানো,3
দাঁড়িয়েছে।,3
ফায়সালা।,3
সাফিয়্যা,3
"জুড়ায়,",3
পরিচয়ের,3
হয়েছ’,3
বানোয়াট,3
গায়েব’,3
অন্যায়-অনাচারে,3
‘তাকওয়া’,3
আবশ্যকীয়,3
উবাইয়ের,3
জয়লাভে,3
দিয়াত,3
চুকিয়ে,3
(ধর্মীয়),3
(স্বেচ্ছায়),3
বিনিময়স্বরূপ,3
আয়কাবাসী,3
"বিধেয়,",3
রাইয়ান,3
"উড়ায়,",3
(ভয়),3
(মহাপ্রলয়),3
দায়িত্বশীলদের,3
মঙ্গলদায়ক,3
হাঁপায়,3
হয়েছ;,3
অস্থায়ীভাবে,3
"দিয়েছি,[1]",3
নয়।[5],3
বিধায়করূপে,3
বিমুখতায়,3
রায়ই,3
বিষয়’,3
হয়।(১),3
হুঁশিয়ারি,3
নেওয়ার),3
জ্ঞানায়ত্ব,3
‘উভয়ই,3
প্রয়োজনও,3
শিখিয়েছে।,3
দিয়েছেন’।,3
রয়েছে।’[1],3
"নিশ্চয়,",3
"আইয়ুব,",3
অন্যায়-অত্যাচার,3
কা’বায়,3
নেশায়,3
ওয়াজিব),3
হিদায়াত।,3
শোচনীয়,3
হেদায়াতের,3
রয়েছে’।,3
ডিঙ্গিয়ে,3
"সম্প্রদায়ভুক্ত,",3
(ব্যয়,3
(কিয়ামতের),3
নিয়ামতও,3
চায়),3
ইচ্ছেয়,3
নিয়ম।,3
ফা-য়েল’,3
যদ্বিষয়ে,3
(উভয়ই,3
ব্যবস্থাপনায়,3
আয়াত;,3
অদ্বিতীয়।,3
"ওয়াকিফহাল,",3
গায়রুল্লাহকে,3
দ্বিতীয়টিতে,3
নবূওয়াত,3
আয়াতই,3
জুড়িয়ে,3
পালিয়েও,3
চেয়েছেন।,3
বায়তুল্লার,3
দিয়েছিলাম)।,3
দেওয়াতে,3
"নিকটাত্মীয়,",3
হয়।[2][1],3
টাকা-পয়সার,3
সময়ে;,3
নয়তো,3
গিয়েও,3
ইয়াহুদীকে,3
হয়[2],3
"যায়নি,",3
দেয়।[4],3
রংয়ে,3
"দুনিয়াতে,",3
করিয়েছিলাম।,3
নিয়তির,3
সম্প্রদায়’।,3
জাতীয়তা,3
"সায়েবা,",3
"নিয়েছিল,",3
দিয়েও।,3
"জানায়,",3
‘হয়ে,3
নয়নাভিরাম,3
রয়েছ’।,3
বিজয়ী।’’,3
ইন্দ্রীয়,3
"সম্প্রদায়ের,",3
স্থায়িত্বের,3
সায়েবাহ,3
শওয়াল,3
"যাকারিয়া,",3
যায়দ,3
প্রিয়পাত্র।,3
হয়েছি।’’,3
দয়াশীল।,3
(শরীয়তের,3
রয়েছে।[1][1],3
সন্দেহ-সংশয়ে,3
দারোয়ান,3
হয়না?,3
বেড়িয়ো,3
নেওয়া),3
"গিয়েছিলেন,",3
যাওয়ার),3
ওয়াদাপ্রাপ্ত,3
দিয়েছিলাম[1],3
পায়গাম,3
দেয়।[3],3
শিখিয়েছেন।,3
তাইয়্যেবা,3
চেয়েছিল;,3
লোকালয়ে,3
বর্ষিয়ে,3
"দুই-তৃতীয়াংশ,",3
‘ব্যয়,3
পায়।[1],3
ক্ষণস্থায়ীভাবে,3
বেড়িয়ে,3
অন্তরায়।,3
প্রত্যয়ের,3
ছায়া।,3
মতানুযায়ী,3
(আম্বিয়া,3
"আনতনয়না,",3
"লাভদায়ক,",3
বানু-ক্বায়নুক্বা,3
(আয়সারুত্,3
বয়সে।,3
সময়ে),3
সূর্যোদয়কালে,3
ও‘য়াদার,3
আত্মবিক্রয়,3
নবুওয়াতের,3
পায়),3
মৃত্তিকায়,3
‘ফায়সালার,3
আয়াত।[2],3
ওসিয়ত,3
"ওয়াজিব,",3
‘তাওয়াক্কুল’,3
"তত্ত্বাবধায়ক,",3
ইখতিয়ারভুক্ত।,3
ইয়া’জুজ,3
হয়েছি),3
নিকটাত্মীয়রা,3
বায়ু),3
রায়কে,3
নাফিয়াহ,3
সমালোচনায়,3
আয়াত।),3
"আলোকময়,",3
দেশীয়,3
ক্রিয়াটি,3
অভয়,3
স্বাফিয়্যাহ,3
এখতিয়ারাধীন।তাফসীরে,3
"দেখিয়েছিলাম,",3
প্রস্রাব-পায়খানা,3
সভয়,3
(সিরিয়া),3
অনিচ্ছায়।,3
নিরূপায়,3
ইয়াহুদীগণ,3
মিনায়,3
"হয়েছিল,[1]",3
নয়।(১),3
উলূহিয়্যাতে,3
(ন্যায়ের),3
উপায়ও,3
দায়িত্ব।[1],3
বাক্বারায়,3
বোঝায়,3
রাষ্ট্রীয়,3
(শয়তানের),3
সময়গুলো,3
খেলাধূলায়,3
ইয়াজূজ,3
ফায়সালাকে,3
মারয়্যামকে,3
ওয়াদাই,3
চেয়েছিলাম।,3
হয়ে’।,3
"কিনারায়,",3
ব্যয়ভার,3
‘বায়েনাহ’,3
রয়েছেন।[1],3
কিফায়াহ’,3
গলিয়ে,3
খাওয়াও।,3
"জায়গা,",3
নিয়ম),3
পারায়,3
"সম্প্রদায়কেও,",3
দিয়েছিলেন;,3
পেয়েছ?,3
হয়েছিল)।,3
ক্বায়িম,3
শু‘আয়ব!,3
জন্মনিয়ন্ত্রণ,3
খেয়াল-খুশির,3
কিয়ামত।,3
নিকটাত্মীয়।,3
"অতুলনীয়,",3
"যাকারিয়্যা,",3
ইয়াহুদী।,3
"হৃদয়ে,",3
তৃতীয়াংশ।,3
শয়তানেরাই,3
অপচয়মূলক,3
"আইয়ূব,",3
(দুনিয়া),3
"হয়,[2]",3
নিয়ম-বহির্ভূত,3
চায়।[1],3
(পাঠিয়েছিলাম),3
রয়েছেন।’,3
পেয়েছে।তাফসীরে,3
"বানিয়েছে,",3
"ও‘য়াদা,",3
ধোয়ার,3
চয়িত,3
ফাযায়েলে,3
প্রজ্ঞাময়।[2][1],3
গোস্বায়,3
ইয়াহুদীধর্ম,3
"সদয়,",3
হাতিয়ার।,3
কাটিয়েছেন।,3
(দয়া,3
(প্রায়শ্চিত্ত,3
ঘুরিয়ে-,3
দুশ্চিন্তায়,3
খোলাফায়ে,3
দফায়,3
নিয়েছে’।,3
ছায়াগুলো,3
বিষয়ীভূত,3
হয়ে;,3
দিয়েছি),3
"করিয়েছিলাম,",3
"বাঁকিয়ে,",3
শায়খ,3
হয়েছিল।),3
ফেরায়,3
অপরাজেয়,3
সম্প্রদায়কে।,3
খাওয়ারিজ,3
ঝর্ণায়,3
ওয়াদা।,3
(কিয়ামত)।,3
বংশীয়দের,3
সময়-সীমা,3
সংজ্ঞায়,3
দেয়ার),3
দেওয়ায়,3
(ফিরিয়ে,3
বিজয়ীর,3
ত্বাইয়্যিব,3
"অনুযায়ী,",3
পাঠিয়েছে।,3
হাদিয়া,3
দু’পায়ে,3
কমিয়ে,3
রয়েছ।’,3
আনায়,3
চয়ন,3
দয়ালু।(১)(১),3
শরীয়তকে,3
চালায়।,3
সৎকর্মপরায়ণ।-তাফসীরে,3
হয়--,3
গুছিয়ে,3
ইয়াসা‘আ,3
হৃদয়সমূহ,3
হাত-পায়ের,3
‘আমলনামায়,3
(ওয়াদা,3
দিয়েছেন?’,3
"রয়েছি,",3
শ্রেয়;,3
কয়েকজনই,3
করায়ত্ত,3
নয়;[2],3
চায়।[2],3
আমলানুযায়ী,3
"ক্রয়-বিক্রয়,",3
হয়েছিলেন।তাফসীরে,3
দিয়েছেনঃ,3
(আদায়ের),3
বয়সী।,3
রয়েছে।),3
‘ফায়’,3
তূওয়া,3
পাঠিয়েছিলাম।[1],3
ইল্লিয়্যীনে,3
ওসিয়াত,3
আইয়ুবের,3
গিয়েছিলাম।,3
আমল-নামায়,3
বয়সেও,3
ইচ্ছাময়,3
উসায়েদ,3
সময়-সুযোগ,3
ইলয়্যাস,3
পাওয়ার),3
দয়ালু।’-তাফসীরে,3
(ভয়াবহ),3
নিরালায়,3
দায়িত্বও,3
ইয়াকূব),3
"তাকওয়া,",3
দুনিয়াদারদের,3
দায়িতত্ত্বশীল,3
তৃতীয়জন,3
ইবাদাতখানায়,3
বিষয়টাকেই,3
জুওয়াইরিয়া,3
চাপড়িয়ে,3
হয়নি।[1],3
খাওয়া-পরার,3
দা’ওয়াত,3
‘মুতাওয়াতির’,3
বানিয়েছেন;,3
"গিয়েছি,",3
দাওয়াতই,3
হওয়া।[2],3
শয়নাগার।[1],3
"নিয়েছিলেন,",3
হাওয়ারীরা,3
যাতায়াতের,3
অবক্ষয়,3
খায়;,3
অসিয়ৎ,3
সুফইয়ান,3
যায়[1],3
পরীক্ষালয়।,2
আহওয়াযী,2
বেড়ায়।তাফসীরে,2
প্রায়ই,2
"ইয়া‘কুব,",2
চিরস্থায়ী;,2
আদায়কারীগণ,2
আয়াতসমূহ),2
ফায়সালা।তাফসীরে,2
আসায়,2
সহীহায়ন,2
বিলাসপ্রিয়রা,2
যন্ত্রণাময়,2
‘আলাকায়,2
চেহারায়।,2
খায়রাত,2
অর্থব্যয়,2
দিয়েছেন[1],2
নির্ণয়ের,2
মুকাবালায়,2
বৈষয়িক,2
হৃদয়-মন,2
ঘটিয়েছিলে,2
(ইয়াহুদী-,2
পলায়নপর।,2
জায়গা)।,2
"ইখতিয়ারে,",2
চাপিয়েছে,2
(অন্যায়ের,2
প্রতিনিয়ত,2
নিয়মানুসারেই,2
হিকমতওয়ালা।-তাফসীরে,2
আনয়ণ,2
রয়েছে।[4][1],2
‘দয়াময়,2
"সুওয়া’,",2
ভয়াবহতাকে,2
মাসলা-মাসায়েল,2
(কিয়ামাতের,2
হটিয়ে,2
"বিনিময়,",2
(ইরওয়াউল,2
রয়েছ;,2
মুকাবেলায়,2
নি‘য়ামাতে,2
অর্থানুযায়ী,2
"বয়সে,",2
(ক্রিয়া-বিশেষণ)।,2
বায়ান,2
দয়াবান।’,2
স্থায়ী[2],2
সোনায়,2
ইয়াকূবের।,2
দায়গ্রস্ত,2
"নিয়ন্ত্রণকারী,",2
পাঠিয়েছিলাম।-তাফসীরে,2
"ন্যায়ভাবে,",2
দয়ালুরূপে,2
"ইয়াহূদী,",2
প্রজ্ঞাময়।[1][1],2
ফেরেশতাদ্বয়,2
থোকায়,2
"চিরস্থায়ী,",2
মুতাওয়াল্লী,2
(দিয়ে,2
আয়।,2
কুরায়শদের),2
আয়াতেরই,2
‘তুওয়া’,2
পছন্দনীয়;,2
"বায়হাকী,",2
ইলিয়াসও,2
সফলতায়,2
বিষয়গুলোকে,2
ছায়াবিশিষ্ট,2
হয়েছিল[3],2
রয়েছেই।,2
দিয়েছিল?,2
মিয়াদ,2
"জারিয়াহ,",2
ওয়ারিছ,2
মারইয়াম-তনয়,2
যায়েদের,2
ধোঁয়াবিহীন,2
ক্বাদিয়ানী,2
ভাইয়েরা),2
সহায়তাকারী,2
"হয়,-তাফসীরে",2
মসলা-মাসায়েলের,2
কৃপায়,2
নাওয়াস,2
শিখায়,2
(নিয়ম),2
বানায়।তাফসীরে,2
ভুয়ো,2
ঝরনায়,2
এখতিয়ারই,2
মুষলধারায়,2
করুনাময়,2
মহাবিপর্যয়,2
যায়না।,2
বিষয়বস্তুতে,2
এখতিয়ারেই,2
সা’য়্যাহ,2
দেখিয়েছিল।,2
"হারিয়েছি,",2
হাওয়াকেও,2
দিয়ে?,2
কবিতায়,2
প্রত্যাশায়।,2
যায়!,2
প্রলয়ঙ্করী,2
নিয়তকে,2
দিয়েছিলে?’,2
নয়?[1],2
জীবিতাবস্থায়,2
ঘটিয়েছেন,2
অধ্যায়)[4],2
গোলকধাঁধায়,2
শিক্ষায়,2
পাছায়,2
"দাঁড়িয়েছিল,",2
অধ্যায়ঃ)তাফসীরে,2
আলোকময়।,2
"অপেক্ষায়,",2
ইয়াতিম,2
তাইয়্যেবায়,2
আল-আম্বিয়াঃ,2
উপায়েই,2
"সঙ্গীদ্বয়,",2
বাকপটুতায়,2
এখতিয়ার।,2
আশ্রয়ও,2
‘মারয়্যাম-তনয়,2
বেদনায়,2
বিদায়ক্ষণ।,2
বয়সকে,2
সম্প্রদায়।[1][1],2
পূর্ণতায়,2
লেখায়,2
(অতিশয়,2
ক্বুরায়যাকে,2
বিজয়ী?,2
শয়তানসমূহ,2
প্রয়োজন।তাফসীরে,2
উপায়ে।,2
পয়গম্বর),2
ময়দানকে,2
"কথায়,",2
সাওয়ার,2
হুঁশিয়ারি।,2
"আদায়,",2
নিকটাত্মীয়গণ,2
সক্রিয়।,2
আম্বিয়ায়,2
বুনিয়াদী,2
হাওয়ায়,2
মর্যাদাময়,2
"করিয়েছে,",2
অনুশোচনায়,2
পাঁয়তারা,2
নায়েলা,2
আত্মীয়গণের,2
প্রয়োজনীয়তার,2
ছাইয়ের,2
ওয়াসীলা,2
ইয়াসরিববাসী!,2
ভালোবাসায়,2
দেওয়ারও,2
মোলায়েম,2
সংশয়যুক্ত,2
চাহিদানুযায়ী,2
রয়েছেন।’[1],2
দেয়ালের,2
অভিজ্ঞতায়,2
সংশয়েই,2
জানোয়ারকে,2
‘ফা-য়েল’,2
দয়া-দাক্ষিণ্যে,2
"কৃপাময়,",2
নিয়েছিল।[2],2
বিষয়াবলীর,2
জানায়।,2
ঘূর্ণিবায়ু,2
ক্রিয়াটির,2
ওয়াসিলা,2
গর্ভাবস্থায়,2
‘উভয়ই’,2
(মাক্কায়),2
সুগন্ধিময়,2
মাদ্য়্যানের,2
নিয়েছি।তাফসীরে,2
দিয়েছিলেন?,2
হয়েছে?-তাফসীরে,2
ওয়াজ-নসীহতের,2
বায়ুকে;,2
দিয়েছিলেন।[2],2
তাওবায়,2
ভয়ে।,2
হয়!তাফসীরে,2
সিয়ামের,2
মারইয়ামই,2
হয়েছে?[2],2
তুলনায়),2
চেয়েছিলেন।,2
বিছিয়েছি,2
শুয়েও,2
খেয়াল-খুশীরই,2
(প্রার্থনায়,2
আওলিয়াগণের,2
গিরায়,2
"প্রেমময়,",2
কর্মনিয়ন্ত্রক,2
পানীয়;,2
পেশাব-পায়খানার,2
ঝামেলায়,2
হয়েছে?তাফসীরে,2
মুঠোয়,2
করায়ত্ব,2
ক্রিয়াপদের,2
দন্ডায়মান।,2
ফয়সালাকারী’।,2
ছুঁয়ো,2
সুগন্ধময়।,2
(শরয়ী,2
সবিনয়,2
তাবেয়ীন,2
দিয়েছেন।(১),2
উপাদেয়।,2
আত্নীয়,2
দায়মুক্ত,2
প্রতিদ্বন্দ্বিতায়,2
কায়েমকারী,2
"আকসায়,",2
মারওয়ায়,2
কুমন্ত্রণায়,2
নয়);,2
(বৈপিত্রেয়,2
চায়’।,2
গভীরতায়,2
রয়েছেন।(১),2
লালায়িত,2
দুই-তৃতীয়াংশের,2
নয়।’-তাফসীরে,2
আয়াত[1],2
হারিয়েছি;,2
"পাঠিয়েছিলেন,",2
উভয়টি,2
"চায়,[1]",2
মহীয়ান।,2
সুলায়মানকে,2
বেড়ায়?,2
‘বায়তে,2
অভিপ্রায়ে,2
দিয়েছে।’,2
নাসীয়াহ’,2
হয়েছে।)[2],2
"নয়’,",2
কোথায়?’-তাফসীরে,2
অনীহায়,2
পলায়নস্থল,2
এক-তৃতীয়াংশের,2
হৃদয়গুলোকে,2
"মহীয়ান,",2
অধ্যায়ঃ)[2],2
(ন্যায়-অন্যায়,2
(মায়ের,2
পেয়েছিলে?,2
"দায়িত্বপ্রাপ্ত,",2
স্বগোত্রীয়দের,2
চড়ায়,2
ছায়াই,2
(ইয়াকূব),2
উথলিয়ে,2
‘বরকতময়,2
নির্দেশানুযায়ী,2
মুসাইয়েব,2
খুযায়মা,2
‘অসিয়ত’,2
ওসীদ্বয়,2
পরিচয়হীন,2
অব্যয়টি,2
বর্তায়।,2
প্রিয়তর,2
আয়ত্তাধীন।,2
বিনয়-নম্রতার,2
রয়েছে!,2
"পরায়ণতা,",2
